SiteID,LayerID,Test Date,Begin Depth,End Depth,USCS Soil Classification,Soil Density,Soil Friction angle,Soil Cohesion,Liquid limit,Plastic limit,Sand content,Fines content,Gravel content,pH,Remarks
31X2129,1,5/4/1962,0,2,ML,105,0,250,28,6,40,51,9,,Conservative parameters assumed for uppermost layer.
31X2129,2,5/4/1962,2,4,ML,105,28,0,,,,,,,
31X2129,3,5/4/1962,4,6,ML,105,28,0,,,,,,,
31X2129,4,5/4/1962,6,8,ML,120,36,0,,,,,,,
31X2129,5,5/4/1962,8,10,ML,125,48,0,,,,,,,Maximum friction angle limited to 48.
31X2129,6,5/4/1962,10,15,ML,125,48,0,,,,,,,Maximum friction angle limited to 48.
31X2129,7,5/4/1962,15,20,ML,130,38,0,,,,,,,
31X2129,8,5/4/1962,20,25,Siltstone,120,48,0,,,,,,,
31X2129,9,5/4/1962,25,30,Siltstone,135,40,0,,,,,,,
31X2129,10,5/4/1962,30,35,Siltstone,105,48,0,38,,8,87,5,8.8,Maximum friction angle limited to 48.
31X2129,11,5/4/1962,35,40,Siltstone,130,40,0,,,,,,,
31X2129,12,5/4/1962,40,45,Siltstone,125,48,0,,,,,,,Maximum friction angle limited to 48.
31X2129,13,5/4/1962,45,50,Siltstone,115,40,0,,,,,,,
31X2129,14,5/4/1962,50,55,Siltstone,115,40,0,,,,,,,
31X2129,15,5/4/1962,55,60,Siltstone,130,38,0,,,,,,,
31X2129,16,5/4/1962,60,65,Siltstone,105,48,0,,,,,,,Maximum friction angle limited to 48.
31X2129,17,5/4/1962,65,70,Siltstone,110,38,0,,,,,,,
31X2129,18,5/4/1962,70,75,Siltstone,110,38,0,,,,,,,
31X2129,19,5/4/1962,75,80,Siltstone,110,38,0,,,,,,,
31X2129,20,5/4/1962,80,85,Siltstone,110,38,0,,,,,,,
31X2129,21,5/4/1962,85,90,Siltstone,115,44,0,,,,,,,
31X2129,22,5/4/1962,90,95,Siltstone,115,44,0,,,,,,,
31X2129,23,5/4/1962,95,100,Siltstone,120,38,0,,,,,,,
31X2129,24,5/4/1962,100,105,Siltstone,120,38,0,,,,,,,
31X2129,25,5/4/1962,105,110,Siltstone,115,40,0,,,,,,,
31X2129,26,5/4/1962,110,115,Siltstone,115,40,0,,,,,,,
31X2129,27,5/4/1962,115,120,Siltstone,125,40,0,,,,,,,
31X2129,28,5/4/1962,120,125,Siltstone,125,40,0,,,,,,,
31X2129,29,5/4/1962,125,130,Siltstone,120,38,0,,,,,,,
21W2056,1,4/17/1962,0,2,SM,105,28,0,35,10,59,37,4,,Conservative strength parameters assumed for uppermost layer.
21W2056,2,4/17/1962,2,4,SM,105,28,0,,,,,,,Conservative strength parameters assumed for upper layer.
21W2056,3,4/17/1962,4,6,SM,125,34,0,,,,,,,Unit weight and friction angle taken approx average of layer 2 and layer 5.
21W2056,4,4/17/1962,6,8,SM,125,34,0,,,,,,,Unit weight and friction angle taken approx average of layer 2 and layer 5.
21W2056,5,4/17/1962,8,10,SM,145,40,0,,,,,,,
21W2056,6,4/17/1962,10,15,SM,145,40,0,,,,,,,
21W2056,7,4/17/1962,15,20,SM,135,42,0,,,,,,,
21W2056,8,4/17/1962,20,25,SM,135,42,0,,,,,,,
21W2056,9,4/17/1962,25,30,SM,125,28,0,,,80,18,2,8.5,Minimum friction angle set to 28.
21W2056,10,4/17/1962,30,35,SM,125,28,0,,,80,18,2,8.5,Minimum friction angle set to 28.
21W2056,11,4/17/1962,35,40,SM,120,28,0,,,,,,,
